ano;mes;grupo;uf;servico;taxa_resolvidas_5_dias
2019;1;Taxa de Respondidas no Período;OI;SMP;99.73
2019;1;Taxa de Respondidas no Período;SERCOMTEL;SMP;22.22
2019;1;Taxa de Respondidas no Período;TIM;SMP;99.78
2019;1;Taxa de Respondidas no Período;VIVO;SMP;99.84
2019;2;Indicador de Desempenho no Atendimento (IDA);ALGAR;SMP;86.39
2019;2;Indicador de Desempenho no Atendimento (IDA);CLARO;SMP;86.79
2019;2;Indicador de Desempenho no Atendimento (IDA);NEXTEL;SMP;50.98
2019;2;Indicador de Desempenho no Atendimento (IDA);OI;SMP;89.7
2019;2;Indicador de Desempenho no Atendimento (IDA);SERCOMTEL;SMP;100.0
2019;2;Indicador de Desempenho no Atendimento (IDA);TIM;SMP;67.24
2019;2;Indicador de Desempenho no Atendimento (IDA);VIVO;SMP;92.26
2019;2;Índice de Reclamações;ALGAR;SMP;0.15
2019;2;Índice de Reclamações;CLARO;SMP;0.46
2019;2;Índice de Reclamações;NEXTEL;SMP;1.07
2019;2;Índice de Reclamações;OI;SMP;0.41
2019;2;Índice de Reclamações;SERCOMTEL;SMP;0.05
2019;2;Índice de Reclamações;TIM;SMP;0.86
2019;2;Índice de Reclamações;VIVO;SMP;0.35
2019;2;Quantidade de acessos em serviço;ALGAR;SMP;1274673.0
2019;2;Quantidade de acessos em serviço;CLARO;SMP;56416569.0
2019;2;Quantidade de acessos em serviço;NEXTEL;SMP;3393869.0
2019;2;Quantidade de acessos em serviço;OI;SMP;37666691.0
2019;2;Quantidade de acessos em serviço;SERCOMTEL;SMP;60465.0
2019;2;Quantidade de acessos em serviço;TIM;SMP;55343053.0
2019;2;Quantidade de acessos em serviço;VIVO;SMP;73426243.0
2019;2;Quantidade de reabertas;ALGAR;SMP;24.0
2019;2;Quantidade de reabertas;CLARO;SMP;1700.0
2019;2;Quantidade de reabertas;NEXTEL;SMP;272.0
2019;2;Quantidade de reabertas;OI;SMP;1151.0
2019;2;Quantidade de reabertas;SERCOMTEL;SMP;0.0
2019;2;Quantidade de reabertas;TIM;SMP;2998.0
2019;2;Quantidade de reabertas;VIVO;SMP;1802.0
2019;2;Quantidade de reclamações;ALGAR;SMP;196.0
2019;2;Quantidade de reclamações;CLARO;SMP;26190.0
2019;2;Quantidade de reclamações;NEXTEL;SMP;3647.0
2019;2;Quantidade de reclamações;OI;SMP;15291.0
2019;2;Quantidade de reclamações;SERCOMTEL;SMP;3.0
2019;2;Quantidade de reclamações;TIM;SMP;47327.0
2019;2;Quantidade de reclamações;VIVO;SMP;26057.0
2019;2;Quantidade de Reclamações no Período;ALGAR;SMP;543.0
2019;2;Quantidade de Reclamações no Período;CLARO;SMP;71466.0
